Desa/Kelurahan,Kecamatan,Latitude,Longitude,Banjir,Tanah Longsor,Cuaca Ektrem,Kebakaran Hutan dan Lahan,Gempa Bumi,Erupsi Gunung Api,Epidemi dan Wabah Penyakit,Gagal Teknologi,Konflik Sosial,Total
Pandanrejo,Bumiaji,-7.8644316,112.5397956,1,2,0,0,0,0,0,0,0,3
Bumiaji,Bumiaji,-7.8573836,112.5384977,14,4,1,1,0,0,0,0,0,20
Bulukerto,Bumiaji,-7.8470168,112.5323344,4,25,1,1,0,0,0,0,0,31
Gunungsari,Bumiaji,-7.842325,112.514999,0,44,0,3,0,0,0,0,0,47
Punten,Bumiaji,-7.8413047,112.5189901,3,18,5,0,0,0,0,0,0,26
Tulungrejo,Bumiaji,-7.8257908,112.5297754,10,22,11,1,0,0,0,0,0,44
Sumbergondo,Bumiaji,-7.831853,112.530491,3,9,3,1,0,0,0,0,0,16
Giripurno,Bumiaji,-7.8484517,112.5448119,2,7,4,2,0,0,0,0,0,15
Sumber Brantas,Bumiaji,-7.76526,112.5297511,4,18,3,0,0,0,0,0,0,25
Oro-oro Ombo,Batu,-7.8944159,112.5314251,1,5,7,1,1,0,0,0,0,15
Temas,Batu,-7.8777027,112.5413594,2,20,8,0,1,0,0,0,0,31
Sisir,Batu,-7.8710345,112.5266519,0,7,22,0,0,0,0,0,0,29
Ngaglik,Batu,-7.8722627,112.5206684,2,1,5,0,0,0,0,0,0,8
Pesanggrahan,Batu,-7.8730206,112.5051448,0,2,2,0,1,0,0,0,0,5
Songgokerto,Batu,-7.8647797,112.5056249,1,35,9,8,0,0,0,0,0,53
Sumberejo,Batu,-7.8584335,112.5117471,1,3,0,1,0,0,0,0,0,5
Sidomulyo,Batu,-7.850398,112.52817,4,2,3,0,0,0,0,0,0,9
Tlekung,Junrejo,-7.9113778,112.5387832,0,5,3,1,0,0,0,0,0,9
Junrejo,Junrejo,-7.9111603,112.5513016,0,3,3,0,0,0,0,0,0,6
Mojorejo,Junrejo,-7.9024333,112.5600242,2,2,1,0,0,0,0,0,0,5
Torongrejo,Junrejo,-7.8873924,112.5415447,2,9,1,0,0,0,0,0,0,12
Beji,Junrejo,-7.8939204,112.54788,0,3,4,0,0,0,0,0,0,7
Pendem,Junrejo,-7.9018277,112.5797215,1,0,2,0,0,0,0,0,0,3
Dadaprejo,Junrejo,-7.9121154,112.5789874,1,10,4,0,0,0,0,0,0,15
